ingredient,count
salt,85746
butter,54975
sugar,44535
onion,39065
water,34914
eggs,33761
olive oil,32822
flour,26266
milk,25786
garlic cloves,25748
pepper,22319
brown sugar,18655
garlic,18087
all-purpose flour,17659
baking powder,17504
egg,17304
salt and pepper,15415
parmesan cheese,14807
lemon juice,14233
baking soda,14099
vegetable oil,13912
vanilla,13315
black pepper,13098
cinnamon,12560
tomatoes,11950
sour cream,11779
garlic powder,10887
vanilla extract,10271
oil,9925
honey,9898
onions,9872
cream cheese,9827
garlic clove,9779
celery,9541
cheddar cheese,8969
unsalted butter,8935
soy sauce,8856
mayonnaise,8736
paprika,7982
chicken broth,7963
worcestershire sauce,7832
extra virgin olive oil,7704
fresh parsley,7656
cornstarch,7486
fresh ground black pepper,7160
carrots,7023
parsley,7001
chili powder,6984
bacon,6948
ground cinnamon,6864
