tag,count
preparation,230546
time-to-make,225326
course,218148
main-ingredient,170446
dietary,165091
easy,126062
occasion,114145
cuisine,91165
low-in-something,85776
main-dish,71786
equipment,70436
60-minutes-or-less,69990
number-of-servings,58949
meat,56042
30-minutes-or-less,55077
vegetables,53814
taste-mood,52143
4-hours-or-less,49497
north-american,48479
3-steps-or-less,44933
15-minutes-or-less,43934
low-sodium,43349
desserts,43203
low-carb,42189
healthy,40340
dinner-party,37561
low-cholesterol,36743
low-calorie,36429
vegetarian,35651
beginner-cook,35561
5-ingredients-or-less,35466
holiday-event,34920
inexpensive,32619
low-protein,32522
low-saturated-fat,31378
fruit,31324
oven,31180
american,31179
eggs-dairy,30142
pasta-rice-and-grains,27084
kid-friendly,27074
side-dishes,26902
healthy-2,26619
comfort-food,26136
european,24912
presentation,24470
poultry,24160
lunch,23800
for-1-or-2,23084
low-fat,22170
